Iteration	Cost
545	10.3971250972
546	10.3959899777
547	10.394855621
548	10.3937221361
549	10.39258948
550	10.3914575597
551	10.3903266296
552	10.3891963123
553	10.3880668805
554	10.3869381176
555	10.3858101372
556	10.3846830104
557	10.3835568206
558	10.3824312433
559	10.3813064148
560	10.3801824253
561	10.3790593673
562	10.3779369484
563	10.3768153473
564	10.3756946459
565	10.3745746142
566	10.3734554649
567	10.3723370618
568	10.3712194078
569	10.3701025685
570	10.3689864527
571	10.3678711802
572	10.3667565806
573	10.3656428081
574	10.3645298045
575	10.3634176709
576	10.3623062317
577	10.3611955244
578	10.3600856458
579	10.358976541
580	10.3578682697
581	10.3567606772
582	10.3556538406
583	10.3545479171
584	10.3534426079
585	10.3523382051
586	10.35123456
587	10.3501315594
588	10.349029362
589	10.3479279704
590	10.3468274287
591	10.3457274819
592	10.3446284142
593	10.343530068
594	10.3424324542
595	10.3413356857
596	10.3402396637
597	10.339144295
598	10.338049793
599	10.3369560304
600	10.3358630265
601	10.3347707251
602	10.3336792991
603	10.3325885083
604	10.3314985712
605	10.3304093883
606	10.3293209045
607	10.3282332785
608	10.3271463046
609	10.3260600196
610	10.3249745751
611	10.3238898598
612	10.322805921
613	10.3217227326
614	10.3206402219
615	10.319558526
616	10.3184775845
617	10.3173973095
618	10.3163178003
619	10.3152390267
620	10.3141610696
621	10.3130837097
622	10.3120072059
623	10.3109314147
624	10.309856311
625	10.3087819448
626	10.3077083339
627	10.3066355326
628	10.305563466
629	10.3044919886
630	10.303421378
631	10.3023514223
632	10.3012822954
633	10.3002138428
634	10.299146172
635	10.2980792741
636	10.2970130523
637	10.2959474892
638	10.294882731
639	10.2938186505
640	10.2927553284
641	10.2916927658
642	10.2906307874
643	10.2895696061
644	10.2885092612
645	10.2874495124
646	10.2863904705
647	10.2853321953
648	10.2842746471
649	10.2832178696
650	10.2821618055
651	10.2811063376
652	10.2800517528
653	10.2789977653
654	10.2779445167
655	10.2768920204
656	10.2758402958
657	10.2747892438
658	10.2737389112
659	10.2726893385
660	10.2716404167
661	10.2705922722
662	10.269544782
663	10.2684979418
664	10.2674519521
665	10.2664066139
666	10.2653620434
667	10.264318021
668	10.2632748594
669	10.2622323209
670	10.2611904617
671	10.2601493108
672	10.2591088828
673	10.258069224
674	10.257030242
675	10.2559918982
676	10.2549542658
677	10.2539174026
678	10.2528811558
679	10.2518456491
680	10.2508109622
681	10.2497769113
682	10.248743562
683	10.2477108501
684	10.24667886
685	10.2456475121
686	10.2446169891
687	10.2435870968
688	10.2425579251
689	10.2415293616
690	10.2405015315
691	10.2394744206
692	10.2384479482
693	10.2374221277
694	10.2363971312
695	10.2353727488
696	10.2343490771
697	10.233326016
698	10.2323037707
699	10.2312821746
700	10.2302612998
701	10.2292410025
702	10.2282213914
703	10.2272025371
704	10.2261842879
705	10.2251667071
706	10.2241498648
707	10.2231337163
708	10.2221182378
709	10.2211034232
710	10.2200893669
711	10.2190760142
712	10.2180632068
713	10.2170510804
714	10.2160396802
715	10.2150289493
716	10.2140189159
717	10.2130095277
718	10.212000749
719	10.2109926999
720	10.2099853655
721	10.2089786922
722	10.2079726711
723	10.206967364
724	10.205962661
725	10.2049586481
726	10.2039553359
727	10.202952776
728	10.2019507485
729	10.2009494046
730	10.1999487378
731	10.1989487429
732	10.1979494779
733	10.1969507126
734	10.1959527258
735	10.1949553905
736	10.193958724
737	10.1929627596
738	10.1919673994
739	10.1909727121
740	10.1899787733
741	10.188985359
742	10.1879926068
743	10.1870005506
744	10.1860091917
745	10.1850183409
746	10.1840281752
747	10.1830387122
748	10.1820499827
749	10.1810619209
750	10.1800744802
751	10.179087699
752	10.1781015149
753	10.1771159489
754	10.1761311165
755	10.1751468818
756	10.1741632594
757	10.1731803878
758	10.1721981522
759	10.1712164006
760	10.170235326
761	10.1692550064
762	10.168275353
763	10.1672962586
764	10.1663178572
765	10.1653401544
766	10.1643630494
767	10.1633865381
768	10.162410726
769	10.1614355692
770	10.1604610453
771	10.1594871667
772	10.1585138577
773	10.1575412372
774	10.1565693334
775	10.1555979442
776	10.1546272355
777	10.1536570777
778	10.152687705
779	10.1517189366
780	10.1507507607
781	10.1497832666
782	10.1488164305
783	10.147850131
784	10.1468844941
785	10.1459195367
786	10.1449551374
787	10.1439914383
788	10.1430283921
789	10.1420658877
790	10.1411040145
791	10.1401427811
792	10.1391821671
793	10.1382222521
794	10.1372628586
795	10.1363041695
796	10.1353461117
797	10.1343886778
798	10.1334318554
799	10.1324756412
800	10.1315200125
801	10.1305650212
802	10.1296105826
803	10.1286569007
804	10.1277038071
805	10.1267513899
806	10.1257994864
807	10.1248482438
808	10.1238975846
809	10.1229476705
810	10.1219983674
811	10.1210495474
812	10.1201013601
813	10.1191537047
814	10.1182067366
815	10.117260435
816	10.1163146793
817	10.1153695071
818	10.1144249936
819	10.1134810649
820	10.1125378448
821	10.1115951026
822	10.1106530385
823	10.1097114859
824	10.10877052
825	10.1078302025
826	10.1068905189
827	10.1059514866
828	10.1050130012
829	10.1040752794
830	10.1031380473
831	10.1022013909
832	10.1012653364
833	10.1003299217
834	10.0993951032
835	10.0984608344
836	10.0975271851
837	10.0965941738
838	10.0956617903
839	10.0947300166
840	10.0937987436
841	10.0928681802
842	10.0919381721
843	10.0910086997
844	10.0900799126
845	10.0891517156
846	10.0882240869
847	10.0872970451
848	10.0863705401
849	10.0854447271
850	10.084519432
851	10.0835948062
852	10.0826706994
853	10.0817471553
854	10.0808242288
855	10.0799019277
856	10.0789802121
857	10.0780590473
858	10.0771385141
859	10.0762185862
860	10.0752992151
861	10.0743805269
862	10.0734623163
863	10.072544713
864	10.071627799
865	10.0707113343
866	10.0697955091
867	10.0688802498
868	10.067965656
869	10.0670515903
870	10.0661381202
871	10.0652252274
872	10.064312843
873	10.0634011406
874	10.062489909
875	10.0615793577
876	10.0606692941
877	10.0597598578
878	10.0588509538
879	10.0579426622
880	10.0570348056
881	10.0561276212
882	10.0552210133
883	10.0543149882
884	10.0534096157
885	10.052504731
886	10.0516004545
887	10.0506967667
888	10.0497935801
889	10.0488910457
890	10.0479890186
891	10.0470875028
892	10.0461866414
893	10.045286308
894	10.0443865605
895	10.0434874504
896	10.0425888709
897	10.0416908413
898	10.0407934411
899	10.0398965756
900	10.0390002172
901	10.0381044542
902	10.0372092983
903	10.0363146673
904	10.0354206793
905	10.0345272165
906	10.0336342887
907	10.0327418977
908	10.0318500675
909	10.0309588283
910	10.0300681389
911	10.0291779919
912	10.0282883687
913	10.0273992702
914	10.0265108024
915	10.025622899
916	10.0247355442
917	10.0238487318
918	10.0229624913
919	10.0220768284
920	10.0211917039
921	10.0203071028
922	10.0194230963
923	10.0185396512
924	10.0176567297
925	10.0167743863
926	10.0158926163
927	10.0150113727
928	10.0141306553
929	10.013250537
930	10.0123709765
931	10.0114919413
932	10.0106134959
933	10.0097355854
934	10.0088582582
935	10.0079814118
936	10.0071051214
937	10.0062294207
938	10.0053542328
939	10.0044795443
940	10.0036053547
941	10.0027317625
942	10.0018586822
943	10.0009862438
944	10.0001143423
945	9.99924289284
946	9.99837205218
947	9.99750178861
948	9.9966319622
949	9.99576272588
950	9.9948939728
951	9.99402583634
952	9.99315815977
953	9.992291086
954	9.9914245404
955	9.99055850915
956	9.98969304742
957	9.98882808627
958	9.9879636855
959	9.98709980448
960	9.98623644219
961	9.98537361369
962	9.98451129639
963	9.98364957985
964	9.98278833246
965	9.98192769367
966	9.98106751988
967	9.98020787331
968	9.97934875209
969	9.97849015565
970	9.97763213136
971	9.97677468586
972	9.97591769089
973	9.97506123321
974	9.97420536993
975	9.97334992593
976	9.97249507604
977	9.9716406847
978	9.97078681153
979	9.96993346723
980	9.96908072705
981	9.96822854822
982	9.96737680794
983	9.96652558356
984	9.96567492808
985	9.96482474659
986	9.96397507114
987	9.9631259289
988	9.96227741727
989	9.96142937077
990	9.96058185278
991	9.95973483287
992	9.95888836452
993	9.95804229065
994	9.95719685078
995	9.95635183329
996	9.95550735243
997	9.95466345873
998	9.95382000783
999	9.95297713494
1000	9.95213478945
1001	9.95129286238
1002	9.95045153147
1003	9.949610636
1004	9.94877029879
1005	9.94793052052
1006	9.94709124701
1007	9.94625246725
1008	9.94541415563
1009	9.94457639149
1010	9.94373909778
1011	9.94290235156
1012	9.94206619269
1013	9.94123043567
1014	9.94039518721
1015	9.93956040617
1016	9.9387261754
1017	9.93789253737
1018	9.93705931293
1019	9.93622661085
1020	9.93539439334
1021	9.93456272765
1022	9.93373153286
1023	9.93290091513
1024	9.93207077563
1025	9.93124106658
1026	9.9304118805
1027	9.92958322213
1028	9.92875502466
1029	9.92792740415
1030	9.92710025173
1031	9.92627359025
1032	9.92544745268
1033	9.9246217161
1034	9.92379657717
1035	9.92297187999
1036	9.92214773682
1037	9.92132409297
1038	9.92050093398
1039	9.91967829333
1040	9.91885611107
1041	9.91803439622
1042	9.91721320121
1043	9.91639243888
1044	9.91557216726
1045	9.91475241552
1046	9.91393324986
1047	9.91311461638
1048	9.91229639924
1049	9.91147866622
1050	9.91066142622
1051	9.90984457867
1052	9.90902838034
1053	9.90821265117
1054	9.90739742619
1055	9.90658266959
1056	9.90576830257
1057	9.90495453502
1058	9.9041412025
1059	9.90332831149
1060	9.90251603235
1061	9.90170411694
1062	9.90089272737
1063	9.90008187816
1064	9.89927151528
1065	9.89846153689
1066	9.89765207958
1067	9.89684312414
1068	9.89603467245
1069	9.89522670272
1070	9.8944191343
1071	9.89361218085
1072	9.89280558789
1073	9.89199953678
1074	9.89119390275
1075	9.89038879621
1076	9.88958414075
1077	9.88877991656
1078	9.88797629285
1079	9.88717309126
1080	9.8863703709
1081	9.88556812585
1082	9.88476643669
1083	9.88396520664
1084	9.88316447324
1085	9.88236414193
1086	9.88156435716
1087	9.88076500561
1088	9.87996615622
1089	9.87916776524
1090	9.87836975275
1091	9.87757227779
